Entity,Country,Original_ML_Scope,Guardrail_Adjusted_Scope,ML_Confidence,Risk_Response_Level,Component_Selected_For_Work,Component_Auditor_Involvement,Basis_For_Selection,Guardrail_Reason,Requires_Human_Review,Expected_Component_Auditor_Communication
USA_Sub,USA,Specific Procedures,Full Scope,0.5133,Significant,Yes,Required,Materiality,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.51 is below the 0.65 threshold.,True,"Confirm proposed scope, planned procedures, timing, reporting format, and matters needing group team review."
Germany_Sub,Germany,Specific Procedures,Full Scope,0.5767,Significant,Yes,Required,Materiality,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.58 is below the 0.65 threshold.,True,"Confirm proposed scope, planned procedures, timing, reporting format, and matters needing group team review."
Japan_Sub,Japan,Analytical Procedures,Analytical Procedures,0.9367,Moderate,No,Not Required,Analytical review,ML recommendation accepted; no guardrail adjustment required.,False,No component auditor work request planned unless the group team revises scoping.
Brazil_Sub,Brazil,Specific Procedures,Specific Procedures,0.6167,Elevated,Yes,Required,Risk / Prior findings,Severe prior findings noted; planned work should address the finding history. ML confidence 0.62 is below the 0.65 threshold.,True,"Confirm proposed scope, planned procedures, timing, reporting format, and matters needing group team review."
India_Sub,India,Specific Procedures,Specific Procedures,0.6833,Elevated,Yes,Required,Risk,ML recommendation accepted; no guardrail adjustment required.,False,"Confirm planned procedures, reporting timetable, and significant matters identified during component work."
France_Sub,France,Specific Procedures,Specific Procedures,0.7567,Moderate,Yes,Required,Analytical review,ML recommendation accepted; no guardrail adjustment required.,False,"Confirm planned procedures, reporting timetable, and significant matters identified during component work."
Australia_Sub,Australia,Analytical Procedures,Analytical Procedures,0.9867,Low,No,Not Required,Analytical review,ML recommendation accepted; no guardrail adjustment required.,False,No component auditor work request planned unless the group team revises scoping.
Mexico_Sub,Mexico,Specific Procedures,Specific Procedures,0.5367,Moderate,Yes,Required,Analytical review,ML confidence 0.54 is below the 0.65 threshold.,True,"Confirm proposed scope, planned procedures, timing, reporting format, and matters needing group team review."
Canada_Sub,Canada,Analytical Procedures,Analytical Procedures,1.0,Low,No,Not Required,Analytical review,ML recommendation accepted; no guardrail adjustment required.,False,No component auditor work request planned unless the group team revises scoping.
SouthAfrica_Sub,South Africa,Specific Procedures,Specific Procedures,0.5733,Elevated,Yes,Required,Risk / Prior findings,Severe prior findings noted; planned work should address the finding history. ML confidence 0.57 is below the 0.65 threshold.,True,"Confirm proposed scope, planned procedures, timing, reporting format, and matters needing group team review."
