Entity,Country,Risk_Level,Recommended_Scope,Prediction_Confidence,Audit_Instruction,ML_Explanation_Summary
USA_Sub,USA,Low,Specific Procedures,0.5133,"For USA_Sub in USA, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.","low risk level; risk_level_encoded is a top model feature (0.210) low liquidity_ratio (1.31), consistent with higher audit attention (0.188) manual risk flag enabled; this is a high-importance model signal (0.146)"
Germany_Sub,Germany,Low,Specific Procedures,0.5767,"For Germany_Sub in Germany, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.","low risk level; risk_level_encoded is a top model feature (0.210) low liquidity_ratio (1.22), consistent with higher audit attention (0.188) manual risk flag enabled; this is a high-importance model signal (0.146)"
Japan_Sub,Japan,Low,Analytical Procedures,0.9367,"For Japan_Sub in Japan, perform analytical procedures only. Review financial trends, compare current results with prior periods, and investigate any unusual fluctuations.","low risk level; risk_level_encoded is a top model feature (0.210) strong liquidity_ratio (1.95), consistent with lower audit attention (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146)"
Brazil_Sub,Brazil,High,Specific Procedures,0.6167,"For Brazil_Sub in Brazil, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.",high risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.60) (0.188) manual risk flag enabled; this is a high-importance model signal (0.146)
India_Sub,India,High,Specific Procedures,0.6833,"For India_Sub in India, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.",high risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.81) (0.188) manual risk flag enabled; this is a high-importance model signal (0.146)
France_Sub,France,Medium,Specific Procedures,0.7567,"For France_Sub in France, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.",medium risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.73) (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146)
Australia_Sub,Australia,Low,Analytical Procedures,0.9867,"For Australia_Sub in Australia, perform analytical procedures only. Review financial trends, compare current results with prior periods, and investigate any unusual fluctuations.","low risk level; risk_level_encoded is a top model feature (0.210) strong liquidity_ratio (2.01), consistent with lower audit attention (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146)"
Mexico_Sub,Mexico,Medium,Specific Procedures,0.5367,"For Mexico_Sub in Mexico, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.",medium risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.75) (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146)
Canada_Sub,Canada,Low,Analytical Procedures,1.0,"For Canada_Sub in Canada, perform analytical procedures only. Review financial trends, compare current results with prior periods, and investigate any unusual fluctuations.","low risk level; risk_level_encoded is a top model feature (0.210) strong liquidity_ratio (2.08), consistent with lower audit attention (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146)"
SouthAfrica_Sub,South Africa,High,Specific Procedures,0.5733,"For SouthAfrica_Sub in South Africa, perform specific audit procedures focused on high-risk areas. Pay special attention to significant account balances, unusual transactions, management estimates, and areas with increased risk.",high risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.60) (0.188) manual risk flag enabled; this is a high-importance model signal (0.146)
