Component_Name,AI_Suggested_Scope,Reasoning,Confidence,Evidence_Used,Guardrails_Triggered,Human_Review_Required,hitl_review_reason
USA_Sub,Full Scope,"low risk level; risk_level_encoded is a top model feature (0.210) low liquidity_ratio (1.31), consistent with higher audit attention (0.188) manual risk flag enabled; this is a high-importance model signal (0.146) high assets_percentage (44.64%), above the training upper quartile (13.20%) large model-scale assets (53,334,438), above the training upper quartile Guardrail assessment: Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.51 is below the 0.65 threshold.",0.5133,Assets=7000000000; Asset_Percentage=44.6429; Risk_Level=Low; Severe_Findings_Count=0; Prediction_Confidence=0.5133; Basis_For_Selection=Materiality,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.51 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; Significant component; Guardrail adjusted AI recommendation
Germany_Sub,Full Scope,"low risk level; risk_level_encoded is a top model feature (0.210) low liquidity_ratio (1.22), consistent with higher audit attention (0.188) manual risk flag enabled; this is a high-importance model signal (0.146) high assets_percentage (25.51%), above the training upper quartile (13.20%) large model-scale assets (30,476,788), above the training upper quartile Guardrail assessment: Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.58 is below the 0.65 threshold.",0.5767,Assets=4000000000; Asset_Percentage=25.5102; Risk_Level=Low; Severe_Findings_Count=0; Prediction_Confidence=0.5767; Basis_For_Selection=Materiality,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.58 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; Significant component; Guardrail adjusted AI recommendation
Japan_Sub,Analytical Procedures,"low risk level; risk_level_encoded is a top model feature (0.210) strong liquidity_ratio (1.95), consistent with lower audit attention (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146) mid-range assets_percentage (7.65%) model-scale assets (9,143,084) Guardrail assessment: ML recommendation accepted; no guardrail adjustment required.",0.9367,Assets=1200000000; Asset_Percentage=7.6531; Risk_Level=Low; Severe_Findings_Count=0; Prediction_Confidence=0.9367; Basis_For_Selection=Analytical review,None,False,No mandatory HITL review trigger
Brazil_Sub,Specific Procedures,"high risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.60) (0.188) manual risk flag enabled; this is a high-importance model signal (0.146) low assets_percentage (3.19%), below the training lower quartile (5.90%) model-scale assets (3,809,628) Guardrail assessment: Severe prior findings noted; planned work should address the finding history. ML confidence 0.62 is below the 0.65 threshold.",0.6167,Assets=500000000; Asset_Percentage=3.1888; Risk_Level=High; Severe_Findings_Count=1; Prediction_Confidence=0.6167; Basis_For_Selection=Risk / Prior findings,Severe prior findings noted; planned work should address the finding history. ML confidence 0.62 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; High risk component
India_Sub,Specific Procedures,"high risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.81) (0.188) manual risk flag enabled; this is a high-importance model signal (0.146) low assets_percentage (3.83%), below the training lower quartile (5.90%) model-scale assets (4,571,482) Guardrail assessment: ML recommendation accepted; no guardrail adjustment required.",0.6833,Assets=600000000; Asset_Percentage=3.8265; Risk_Level=High; Severe_Findings_Count=0; Prediction_Confidence=0.6833; Basis_For_Selection=Risk,None,True,High risk component
France_Sub,Specific Procedures,"medium risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.73) (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146) mid-range assets_percentage (6.06%) model-scale assets (7,238,270) Guardrail assessment: ML recommendation accepted; no guardrail adjustment required.",0.7567,Assets=950000000; Asset_Percentage=6.0587; Risk_Level=Medium; Severe_Findings_Count=0; Prediction_Confidence=0.7567; Basis_For_Selection=Analytical review,None,False,No mandatory HITL review trigger
Australia_Sub,Analytical Procedures,"low risk level; risk_level_encoded is a top model feature (0.210) strong liquidity_ratio (2.01), consistent with lower audit attention (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146) low assets_percentage (4.78%), below the training lower quartile (5.90%) model-scale assets (5,714,442) Guardrail assessment: ML recommendation accepted; no guardrail adjustment required.",0.9867,Assets=750000000; Asset_Percentage=4.7832; Risk_Level=Low; Severe_Findings_Count=0; Prediction_Confidence=0.9867; Basis_For_Selection=Analytical review,None,False,No mandatory HITL review trigger
Mexico_Sub,Specific Procedures,"medium risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.75) (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146) low assets_percentage (1.28%), below the training lower quartile (5.90%) model-scale assets (1,523,827) Guardrail assessment: ML confidence 0.54 is below the 0.65 threshold.",0.5367,Assets=200000000; Asset_Percentage=1.2755; Risk_Level=Medium; Severe_Findings_Count=0; Prediction_Confidence=0.5367; Basis_For_Selection=Analytical review,ML confidence 0.54 is below the 0.65 threshold.,True,Low ML confidence
Canada_Sub,Analytical Procedures,"low risk level; risk_level_encoded is a top model feature (0.210) strong liquidity_ratio (2.08), consistent with lower audit attention (0.188) manual risk flag not enabled; this is a high-importance model signal (0.146) low assets_percentage (1.91%), below the training lower quartile (5.90%) model-scale assets (2,285,801) Guardrail assessment: ML recommendation accepted; no guardrail adjustment required.",1.0,Assets=300000000; Asset_Percentage=1.9133; Risk_Level=Low; Severe_Findings_Count=0; Prediction_Confidence=1.0; Basis_For_Selection=Analytical review,None,False,No mandatory HITL review trigger
SouthAfrica_Sub,Specific Procedures,"high risk level; risk_level_encoded is a top model feature (0.210) moderate liquidity_ratio (1.60) (0.188) manual risk flag enabled; this is a high-importance model signal (0.146) low assets_percentage (1.15%), below the training lower quartile (5.90%) model-scale assets (1,371,504) Guardrail assessment: Severe prior findings noted; planned work should address the finding history. ML confidence 0.57 is below the 0.65 threshold.",0.5733,Assets=180000000; Asset_Percentage=1.148; Risk_Level=High; Severe_Findings_Count=1; Prediction_Confidence=0.5733; Basis_For_Selection=Risk / Prior findings,Severe prior findings noted; planned work should address the finding history. ML confidence 0.57 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; High risk component
